numcode,risk_assessment
75016,"Bodos have a moderate risk for rebellion, with three risk factors. They are territorially concentrated north of the Brahmaputra River in Assam and have a history of protest and violence against the state. Factors mitigating the risk of rebellion include efforts at negotiation and accommodation of Bodos demands. Two militant Bodo organizations have reached ceasefires with government officials, including in 2005 a ceasefire between the National Democratic Front of Bodoland and government. Final resolution of the conflict will depend on implementation of accords over the next several years and on eased competition between Bodo and Assamese organizations for political dominance. Bodo protest will likely continue at low to moderate levels in the near future. Numerous Bodo political organizations continue to mobilize the community, in particular students. The democratic nature of India's government also makes protest a relatively low-cost form of political resistance.  Because the agreement reached in 2003 for the Bodo Territorial Council did not take the needs of all Bodo groups into consideration, there is still a great possibility for conflict between these groups as well as uprising by the National Democratic Front of Bodoland, the groups' most radical organization. This is especially true if the talks among the NDFB and the government do not end positively."
85004,"At present, East Timor is the only ethnic group in Indonesia to have successfully mobilized during the chaos of the 1998 economic crisis and gained independence after the fall of Suharto. Its success was based on many factors, not least of which was the international attention focused on East Timor - due in large part to Portuguese pressure - which has not accompanied the conflicts by Aceh, Irian Jaya, Papua, the Moluccas, and other groups in Indonesia. East Timor=s success, however, is not necessarily guaranteed. In fact, its unique situation may contribute to future problems. As mentioned earlier, Indonesia faces separatist threats from several other groups, and greatly fears that East Timor=s success may stimulate further disintegration. The international pressure which accompanied the East Timor referendum may lead to a backlash among Indonesian political parties, some of whom feel that this solution was forced on them. Furthermore, the Indonesian army, which has been resistant to its diminished role in the democratizing republic, views its inability to keep East Timor as a lingering black eye. The border between the east and west sides of the island of Timor has already proven rather porous, and accidental conflicts between Indonesian military and militia forces and those belonging to the United Nations have already occurred. While human rights investigators and the international community press for further inquiries into past atrocities in East Timor, the Indonesian army - which perpetrated many of these crimes - is growing increasingly resentful. This tension may flare up at any time, leading to cross-border conflicts. East Timorese migrants face another significant obstacle during this transition. During the almost quarter-century occupation of the territory by Indonesia, unknown numbers of East Timorese traveled to other parts of the archipelago for educational or other opportunities. They would be easy targets for any future Indonesian nationalist backlash. Within East Timor, there are also potential problems. None the least of these is the territory itself. With no natural resources, and an infrastructure and economic base flattened by months of rioting, almost all basic necessities of the East Timorese are currently being supplied by international aid. As its residents return from refugee camps, other problems will arise. East Timor now is much more diverse than it was twenty-five years ago. Indonesian Atransmigrasi@ programs have brought Muslim and Bugis migrants, who have already clashed with ethnic East Timorese Catholics. There are also lingering tensions between the majority of Timorese, who voted for independence in August 1999, and the minority who became identified with one of the pro-Indonesia militias. While the leaders of both factions are trying hard to work together, individual families and groups still occasionally try to exact revenge for the injuries inflicted during the latter quarter of 1999. Such behavior could escalate at any time, leading to renewed violence. Presumably, the United Nations will maintain its oversight of East Timor until at least some of these problems have been resolved. The conditions of a UN pullout or transfer of power have not yet been specified, however. East Timor remains at a crucial juncture, and the actions of its leaders in the near future may have important implications for whether its population will remain at risk in the coming years."
66603,"With the new intifada ongoing since September 2000, the near-term situation for Palestinians in Israel (West Bank and Gaza) is very bleak. Since 2001, the death toll has soared as Sharon has intensified existing policies such as assassinating Palestinian militants, air strikes and incursions into Palestinian self-rule areas. Palestinian militants, meanwhile, have stepped up suicide bomb attacks in Israeli cities.  The continual spiral of suicide bombings followed by Israeli reprisal attacks shows no signs of slowing.  Violence significantly worsened in 2001 and 2002, and continued at a somewhat abated pace in 2003.  Several international attempts to bring about peace have so far failed (such as the Mitchell commission, the Saudi Peace Proposal, and the US 'Road map), and it is unlikely that violence will cease in the near-future."
32501,"It is extremely unlikely that the South Tyrolians will become involved in serious rebellion, although bombings by militants may recur. They have substantial local autonomy and have very little to gain by attempting to secede from Italy and join Austria, particularly with the lack of enthusiasm in Austria in supporting them. While they lack most of the risk factors for protest, such as political and cultural restrictions, government repression, and significant support from Austria, due to their history of protest and their deep commitments to their culture and history, nonviolent political action in the future remains a possibility. Furthermore, the effect that the increasing integration of the European Union will have on the region has yet to be determined. Thus far, it has served to help open the borders between Italy and Austria and allowed more personal exchanges between Tyrolians on both sides of the border. There are signs, however, that the German speakers in South Tyrol might try to use the EU to petition for increased autonomy or other privileges which Italy may not be willing to give."
7004,"The non-Mayan and non-Zapotec indigenous groups in Mexico demonstrate three factors that increase the likelihood of future rebellion: persistent protest in the past decade;  territorial concentration; and  increased indigenous solidarity in support of the Zapatistas. However, four factors support the strong likelihood that rebellion will be avoided: increased democratic stability under recent administrations; greater commitments of recent administrations to meet indigenous demands, backed by action; widespread public and ideological support of Mexican indigenous groups by numerous foreign governments and transnational NGOs; and lack of serious armed conflicts in neighboring countries. The prospects for peace in indigenous regions are good, primarily due to President Fox's decisive action upon election to scale back military operations in indigenous regions and his commitment to addressing the grievances of indigenous groups. Despite opposition to the Indian rights bill passed in April 2001, there is no indication that opposition will turn violent. Though the presence of pro-PRI(Institutional Revolutionary Party) paramilitary groups in indigenous regions pose a continued threat, such groups are likely to face greater constraints with the PRI unseated in the presidency and in key gubernatorial offices."
35901,"The Gagauz have virtually no risk of rebellion and, given the widespread powers afforded them as a result of the 1994 autonomy agreement, their likelihood of protest remains low. In fact, the Council of Europe originally criticized the agreement as providing too much autonomy. Nonetheless, support among residents is generally favorable and prospects for the Gagauz appear promising. Further, legislation introduced by the central government in 2005 enshrined the 1994 agreement in law, removing the last Gagauz grievance regarding autonomy. Residents of the region share a strong desire for stability and are tolerant of the moderate policies of the Gagauz councils. On the other hand, the potential for escalation of ethnic tensions cannot be totally ruled out. Renewed conflict is possible, but the risk of that occurring seems to be small. Some possible causes of conflict include a victory of hard-line Romanian nationalists in the presidency and legislature, which at the moment seems rather unlikely, or a centralization of power by the authorities in Chisinau, which has been a growing concern due to actions of the ruling Communist Party since 2001. Economic decline, which had afflicted the country since independence and threatened to aggravate tension among the population, has finally ended, and the past few years have seen weak economic growth in Gagauz Eri and the rest of the country. Another key to Gagauz stability is the Transdniestr issue in the east of the country. Thus far, the confrontation has pushed Chisinau to be accommodating towards the Gagauz out of fear of a new violent conflict in the south. This could change if the resolution of the Transdniestr conflict were to cause a backlash against the course of moderation. In this event, the gains made by the Gagauz (and also the Bulgarians) might be reversed. Further, if resolution with Transdniestr includes greater autonomous powers for that region, which seems likely, some members of the Gagauz elite could call for greater political power in the Gagauz region as well, potentially aggravating political tension."
77501,"The Rohingyas have two of the five factors that increase the chances of future rebellion: territorial concentration and recent government repression. Since the late 1980s, the military junta has negotiated ceasefire agreements with 15 ethnic groups, including the All Burma Muslim Union, which was once supported by the Rohingya community but has ceased to be active since the late 1990s. The group is now represented primarily by militant organizations, the most prominent of which is the Arakan Rohingya National Organization (ARNO). Given the severe political, economic, and cultural discrimination against the Rohingyas, it is likely that low-level resistance will reemerge in the near future."
77503,"The Kachin have three of the five factors that increase the chances of future rebellion: territorial concentration, a high level of group organization, and government repression. Factors that could limit future rebellion include the junta's negotiation of ceasefire agreements with three prominent Kachin organizations ' Kachin Independence Organization (KIO), New Democratic Army  Kachin (NDA-K), and Kachin Defense/Democratic Army (KDA)  coupled with its superior military force, which has severely limited the activities of the few remaining non-ceasefire organizations. The ceasefire deals have provided the ethnic groups with some local control and promises of economic development. Whether these provisions are fulfilled or not will also likely influence the prospects of future anti-state actions."
43603,"The Tuareg in Niger exhibit several risk factors for rebellion, including territorial concentration and regime instability in the recent past. Many of the grievances that sparked the 1990 rebellion have yet to be resolved, although some progress has been made in implementing certain provisions of the peace accord, such as a limited reintegration of former rebels into the police and military. As an example of the government reintegration plan, in 2003, many of the Republican Guard members were former Tuareg rebels. Despite consistent efforts at negotiation, some efforts at reform and transnational support for peaceful change, the Tuareg remain at high risk given the recent rebellion in 2007, which led to a government-imposed three month state of alert for the region. The state of alert has given the government increased powers of arrest.  Risk for political protest is moderate. The Tuareg lack a consistent history of political protest. However, they do suffer from continued cultural and political restrictions, largely due to historical neglect. Additionally, economic grievances remain highly salient. Unlike the Tuareg in Mali, the Tuareg of Niger remained politically organized and represented by various organizations. The peace is tenuous as insurgency seems to be arising again in the North. The amount of time the government takes to adequately uphold the agreement of the 1995 cease-fire and to provide essential resources for the Tuareg will determine the likelihood of the continuance of peace in the region. As the years go by and the Tuareg remain dissatisfied, they become increasingly prone to violence."
36504,"Before the first invasion of Chechnya, then Russian Defense Minister Pavel Grachev warned that an operation in Chechnya would take ""10 minutes to plan, 10 hours to execute, and 10 years to finish."" Events have proven him wrong on all three counts, for the cycle of violence was still intense at the end of 2006, although significantly diminished from earlier in the decade. Events change rapidly in Chechnya, but by 2007 rebel forces were reliably numbered at more than 1,000 and rebel attacks against government forces were still reported on an almost daily basis, despite a formal declaration by Russia's government that the military campaign is over and a period of ""normalization"" has begun. Most rebel attacks are now hit-and-run operations. The years 2004 to 2006 were a period of great change for the rebels. While the rebels managed one spectacular hostage taking in 2004 (a school in Beslan, North Ossetia), this proved to be their last, as two high-profile rebel leaders ' Maskhadov and Basayev  were killed by state security forces. Rebels also managed to assassinate pro-Kremlin Chechen leader Akhmad Kadyrov in 2004. This, however, brought his son, Ramzan, to power and he has slowly consolidated control of the region with Kremlin support, bringing rebel fighters slowly under control through a combination of cooptation and repression. In a sense, the Kremlin has ""outsourced"" the pacification of Chechnya to an indigenous group of Chechens led by Kadyrov and, to date, it has seen some success. The Chechens have several risk factors for future rebellion: territorial concentration, recent government repression, a recent history of rebellion and group cohesion. The most likely scenario going forward will be increased calm in the region with limited violence continuing into the future. The risks of renewed large-scale violence are twofold: first, if Kadyrov loses support form the Kremlin there is great potential for a power struggle between Grozny and Moscow; second, there has been increased regional instability in neighboring republics of Ingushetia, Dagestan and beyond where insurgencies and violence have been gathering pace. This instability has the potential to spill over into Chechnya itself."
36537,"Tuvinians are unlikely to engage in violent rebellion in the near future. Protest in the previous 10 years has been almost non-existent, and group members have demonstrated no signs of violence against the state or other ethnic groups. While the Tuva are territorially concentrated, constitute a majority of the republic's population, and have a moderately strong identity, they nevertheless exhibit relatively low levels of group organization. The only noticeable protest of late occurred in 2002 over Russia's decision to deny the Dalai Lama a visa to enter the region, but the protests were small. The absence of any other significant political or cultural restrictions mean that protests will probably not escalate into mass protests. There is widespread poverty among the group, but Moscow provides substantial subsidies for the autonomous republics budget."
78002,"Political violence by some elements of the Sri Lankan Tamil population is highly likely to continue in the near future. The Liberation Tigers of Tamil Eelam (LTTE or Tamil Tigers), the dominant Tamil organization in Sri Lanka, has resumed its protracted insurgency against the central government following the collapse of a fragile ceasefire in 2005. In 2006, the conflict intensified to become a civil war. Many other risk factors exist for future violence, including heavy repression of both violent and civilian Tamils, Tamil conflict with multiple other ethnic groups, and severe factional violence among Tamils. The likelihood of continued violence is further increased by the territorial concentration of the Tamils, the group's history of lost autonomy and its long and active separatist movement. Through a network of Tamil diaspora groups, the LTTE continues to obtain the material and military resources necessary to prolong the conflict. Therefore, the prospects for peace in the near future between the LTTE and the Sri Lankan government are dim. The effectiveness, in terms of instilling peace in the region, of the government's recent success in recapturing LTTE territory remains unclear as the organization operates behind a network of transnational support."
71301,"There has been no rebellion among the aboriginal Taiwanese. Although there have been increased protests in recent years, rebellion is unlikely because of several factors: 1) the Taiwanese government's democratic regime; 2) the government's efforts to improve the group's situation, and 3) the lack of serious armed conflicts in nearby countries that might have spillover effects on aboriginal Taiwanese. The government's competition with the People's Republic of China may provide the rationale for future improvements in aboriginals' status. Like indigenous peoples in many other areas of the world, Taiwan's aboriginals face threats to their culture and lifeways and a continual encroachment on their traditional areas of residence. Although aboriginals are not subject to any official discrimination, they are unable to influence policies and programs that affect their ways of life. Taiwan's rapid economic modernization displaced many aboriginals from their home areas while simultaneously providing them with limited economic benefits. The average income of the aboriginals is less than half of the national average. Poverty and the increasing inability to earn a livelihood through traditional methods such as hunting and felling trees have helped to promote widespread child prostitution and alcoholism. Further, Taiwan's indigenous peoples have become ""tourist attractions"" as the government has moved many groups into ""model"" villages in order to boost visitors to the island."
64005,"The situation of the Kurds in Turkey has slightly improved in the past few years, although significant obstacles remain and Kurds still present a number of the risk factors for future rebellion, such as current rebellion and protest, territorial concentration, high levels of group organization, and repression. They also face serious discrimination. Kurds are denied autonomy and military skirmishes continue to occur between the PKK and government forces (having claimed more than 30,000 victims to date). Turkey's Kurds still suffer from discrimination that includes serious restrictions on their language and any expression of Kurdish culture, as well as restrictions on non-violent political organizing. These restrictions are enforced at times by mass arrest. The greatest hope for Kurdish rights likely will stem from the international arena, as Turkish policies have been criticized by Turkey's NATO allies and are a barrier to Turkey's economic integration into Europe. For the time being at least, Turkey seems to be willing to pay this price in order to counter the perceived threat posed by the Kurds to its national security, but further international pressures may eventually help the Kurds of Turkey gain greater minority rights."
36905,"Crimean Russians exhibit four of the five factors that encourage rebellion: persistent protest; territorial concentration; high levels of group organization and cohesion; and recent regime instability during the Orange Revolution of November 2004 - January 2005. However, the high degree of autonomy granted to the Crimean government by Ukraine and the fact that Crimean Russians are subject to no state repression and very little societal discrimination have served to alleviate some grievances. Furthermore, while there is some sentiment in both Russia and Crimea for Russia's annexation of Crimea, it is unlikely that Russias central government will pursue this goal. Ethnic Russians in Crimea are likely to continue to protest at moderate levels. There is little indication that the central government is going to change unfavorable policies (e.g. state-level language laws and policies regarding Tatar immigration) in the near future. The highest risk for violence in Crimea is between ethnic Russian and Tatar groups. Limited incidents of violence between these groups have occurred sporadically in recent years. With the increase of the Tatar population (and hence increased pressure on the Russian population and on economic resources), these incidences are likely to increase, barring more vigorous intervention by the central government or other actors."
203,"Although there has been a history of militant activity in the past, it is unlikely that Native Americans in the United States will use this strategy in the future. While unlikely, it is impossible to rule out such action entirely. The group's economic situation is extremely poor, and there does not appear to be a lot of hope for a reversal of this situation any time soon. The group does not possess the risk factors usually associated with protest, such as repression, political and cultural restrictions or a fragile democracy, but protest is likely. The group has used protest throughout the past century and is likely to continue. The indigenous movement has gained attention throughout the world, and the Native Americans have numerous issues which need to be addressed. Native Americans are among the poorest, least educated people in the country and suffer from sub-standard health and housing conditions. In large part, this is not due to current discrimination but, rather is a result of past government discrimination and the conditions of life on reservations. At the same time, however, there is some discrimination in society. Affirmative action programs created by state and federal governments to alleviate discrimination seem to be a double-edged sword for Native Americans. While they do not seem to benefit from these programs as much as other ethnic groups do, they do suffer from the backlash which affirmative action has engendered among whites and others with more strictly merit-oriented inclinations. Until these issues and various land rights are resolved, the likelihood of continued protests is high."
81604,"The Montagnards (also known as the Dega or Degar people) have two factors that may increase the likelihood of rebellion in the future: territorial concentration and repression by the government. There are fewer than a million Montagnards remaining in Vietnam. Very little information is available on the status of these hill peoples. They appear to still remain outside of the mainstream of Vietnamese life, maintaining their own dialects and surviving on subsistence agriculture.  Recent years have seen several large protests occur, notably in 2001 and 2004, that were met with serious force from the government. However, it appears highly unlikely that there will be a rebellion in the near future, as the most recent protest was reportedly conducted in a peaceful manner."
34501,"Kosovar Albanians in the former Yugoslavia exhibit three of the five characteristics that encourage future rebellion: persistent protest in the past, territorial concentration and generally high levels of group organization. However, the unilateral Kosovar declaration of independence in early 2008 was followed by high levels of international recognition, including by most of the member states of NATO, the EU and OSCE. However, the Republic of Kosovo has not applied for membership to the United Nations, due to opposition from Russia, which holds a veto on the UN Security Council.  The future of Kosovo, and hence of Kosovar Albanians, is in part dependent on two factors. First, the relationship with Serbia, which does not recognize Kosovar independence, continues to be tense. However, with radical nationalists out of power, the situation is not likely to escalate to violence. However, violence is likely between Kosovar Albanians and Kosovar Serbs. Intercommunal violence has been a recurrent problem within Kosovo; and although some steps have been taken to improve relations, they have thus far been unsuccessful.  "
55102,"The Lozi are at moderate risk for future rebellion. They have lost autonomy, an important risk factor for rebellion. In addition, they have had persistent past protest (although not recently) and suffer from repression. These three factors indicate grievances are not being redressed, making rebellion more likely. Lozi are territorially concentrated in the Western Province and have a high level of group identity. Talk of seccession and political independence exist among the group. However, this sentiment is only shared by a smaller number of Lozis, where many others do not see this stance as an advantageous one. However, the internal fighting and lack of commitment to Lozi organizations will hinder any efforts. Of note, kindred Barotse in the Caprivi Strip of Namibia rebelled in 1998, and there has been talk between the two since then. A joint insurrection is possible. Members of the Barotse Patriotic Front in Zambia even crossed the border to help fight in Namibia in 1999. There are some mitigating factors. The Zambian government has been moving towards more democratic processes since Chiluba stepped down in 2001. There is also increasing transnational pressure on Zambia to maintain democratization. Recent years have also seen direct aid from foreign governments to Lozi health and development projects, alleviating some Lozi grievances. Lozi risk for protest is also moderate, fueled by continuing grievance but hampered by lack of coherent Lozi organizations."
90001,"There is little reason to believe that the Aborigines of Australian will employ militant tactics or systematic violence in the near future. They lack the risk factors -- such as territorial concentration, group cohesion, regime instability and government repression -- that make rebellion more likely. At the same time, factors that mitigate risks of militant behavior, including living under a consolidated democracy and continued efforts at reforms, are present. The government continues to try to make amends for past wrongs, including a issuing a formal apology for past wrongs committed against the aboriginal community. While the risk of militant activity is low, the possibility for continued protests is higher. This is despite the fact that the Aborigines do not possess the normal risk factors associated with protest, such as government repression, political restrictions, or a new democracy. The openness of the Australian democratic system allows for the group to protest, and they have used the strategy throughout the past. There are still many issues outstanding and the Aboriginal community continues to suffer economically and socially. While the Australian government has placed millions of dollars into programs to both improve the Aboriginal economic status, and to provide sensitivity training for the white population, there is still discrimination throughout the country. Until these problems are adequately addressed, protests are likely to continue."
76001,"The Lhotshampas have the following factors encouraging rebellion or protest: territorial concentration in southern Bhutan, where they constitute a majority of the population, and significant political, economic, and cultural discrimination. As of the end of 2006, the leaders of Nepal and Bhutan remained in talks regarding the repatriation of Bhutanese refugees in Nepal."
